Speaker of the House of Representatives	States, Territories, and Cities
Walter Mondale	Contemporary America	Carter's vice president and 1984 Democratic presidential nominee, defeated in a landslide by Reagan.
Walter Winchell	The Depression, New Deal, and World War II	Influential gossip columnist and radio commentator shaping mid-20th-century American celebrity and political culture.
Wampanoag	Colonial America	New England nation whose leader Massasoit aided the Plymouth Pilgrims; later led by Metacomet in King Philip's War.
war bonds	The Depression, New Deal, and World War II	Government securities sold to finance World War II, promoted through patriotic campaigns.
Warren	The Cold War and Civil Rights
Warren Burger	The Cold War and Civil Rights	Chief Justice whose Court decided United States v. Nixon, forcing release of the Watergate tapes.
Washington State	States, Territories, and Cities	Pacific Northwest state settled via the Oregon Trail dispute; admitted in 1889.
water	The Gilded Age and the West
Weather Underground	The Cold War and Civil Rights	Radical leftist group that carried out bombings in protest of the Vietnam War in the late 1960s-70s.
Weather Underground Organization	The Cold War and Civil Rights	Radical leftist group that carried out bombings in protest of the Vietnam War in the late 1960s-70s.
Webster-Ashburton Treaty	The Early Republic and Jacksonian America	1842 agreement settling the Maine-Canada border dispute between the US and Britain.
West Point	American Revolution and the Founding	US Military Academy on the Hudson River, site of Benedict Arnold's attempted betrayal to the British.
whaling industry	The Early Republic and Jacksonian America	Maritime industry centered on New England ports like New Bedford and Nantucket, hunting whales for oil.
White House Press Secretary	Contemporary America
Whitewater scandal	Contemporary America	Arkansas real-estate investigation into the Clintons that spawned a broader independent-counsel probe.
Whittaker Chambers	The Cold War and Civil Rights	Former Soviet courier whose testimony helped convict State Department official Alger Hiss of perjury.
Wickard v. Filburn	The Depression, New Deal, and World War II	1942 Supreme Court case broadly expanding federal commerce power to reach even personal-use wheat production.
Will Hays	The Depression, New Deal, and World War II	Hollywood censor who administered the "Hays Code" governing film content from the 1930s.
William Bainbridge	The Early Republic and Jacksonian America	Naval commander during the Barbary Wars and War of 1812, captain of the USS Constitution.
William Dudley "Big Bill" Haywood	The Progressive Era and World War I	Radical labor leader who co-founded the IWW ("Wobblies") and later fled to Soviet Russia.
William F. Buckley, Jr.	Contemporary America	Conservative intellectual who founded National Review and hosted Firing Line, shaping the modern American right.
William Franklin	American Revolution and the Founding	Benjamin Franklin's illegitimate son who remained a loyalist royal governor of New Jersey, estranging the two.
William Henry Seward	Civil War and Reconstruction	Lincoln's Secretary of State who arranged the Alaska Purchase; survived an assassination attempt the night Lincoln was shot.
William O	The Cold War and Civil Rights
William Rehnquist	The Cold War and Civil Rights	Conservative Chief Justice who presided over Clinton's impeachment trial and Bush v. Gore.
William Tryon	American Revolution and the Founding	Last royal governor of colonial New York, and earlier North Carolina, who suppressed the Regulator movement.
William Worth Belknap	Civil War and Reconstruction	Grant's Secretary of War impeached for accepting bribes in a trading-post scandal.
Willie Horton	Contemporary America	Convicted felon whose furlough became infamous in a racially charged ad against 1988 candidate Michael Dukakis.
Wilmot Proviso	The Early Republic and Jacksonian America	Failed 1846 proposal to ban slavery in territory won from Mexico, intensifying sectional tensions.
Wonders of the Invisible World	Colonial America	Cotton Mather's 1693 book defending the Salem witch trials' legitimacy.
