Edward	High and Late Medieval Europe
Oxford	Economy, Society, and Culture	English university town, home to one of Europe's oldest universities, dating to the 12th century.
Philip	High and Late Medieval Europe
Piast dynasty	High and Late Medieval Europe	First historic Polish royal dynasty, beginning with Mieszko I, who converted Poland to Christianity.
Republic of Poland	Cold War and Contemporary Europe	Modern Polish state restored in 1918 and again in 1989 after decades of Communist rule.
Richard II	High and Late Medieval Europe	English king who suppressed the Peasants' Revolt as a boy but was later deposed by Henry Bolingbroke.
Russia	Absolutism and the Early Modern State	Eastern European and Eurasian state built by the Rurikid and Romanov dynasties, modernized under Peter the Great.
Russian Empire	Absolutism and the Early Modern State	Tsarist state proclaimed by Peter the Great in 1721, expanding across Eurasia until its 1917 collapse.
Second Crusade	High and Late Medieval Europe	1147-1149 crusade led by Louis VII and Conrad III that failed to recapture Edessa from Muslim forces.
Slobodan Milosevic	Cold War and Contemporary Europe	Serbian nationalist leader tried for war crimes over the Yugoslav wars and Kosovo conflict.
szlachta	Absolutism and the Early Modern State	Polish-Lithuanian noble class that dominated politics through the elective monarchy and liberum veto.
Third Crusade	High and Late Medieval Europe	1189-1192 crusade led by Richard I, Philip II, and Frederick Barbarossa against Saladin, failing to retake Jerusalem.
tulips	Reformation and the Wars of Religion	Ottoman-origin flower whose Dutch speculative bubble in the 1630s is a famed early financial mania.
Veliky Novgorod	Early Medieval Europe	Medieval Russian trading republic and Hanseatic partner, ruled by a veche assembly before Ivan III's conquest.
War of the Austrian Succession	Absolutism and the Early Modern State	1740-1748 war sparked by Frederick the Great's seizure of Silesia from Maria Theresa's Habsburg realm.
William Ewart Gladstone	Nationalism and Reform in Nineteenth-Century Europe	Liberal British prime minister four times over, champion of Irish Home Rule and free trade.
Winston Churchill	Interwar Crisis and World War II	British prime minister who led the nation through World War II, later coining the term "Iron Curtain."
Winter War	Interwar Crisis and World War II	1939-1940 conflict in which Finland fiercely resisted a Soviet invasion before ceding territory.
Years of Lead	Cold War and Contemporary Europe	Period of political violence and terrorism in Italy from the late 1960s to 1980s, involving the Red Brigades.
Zurich	Reformation and the Wars of Religion	Swiss city where Huldrych Zwingli launched the Swiss Reformation in the 1520s.
Alexandria	Antiquity, Late Antiquity, and Byzantium	Egyptian city founded by Alexander the Great, famed for its ancient library and later a major Byzantine see.
Archbishop of Canterbury	High and Late Medieval Europe	Senior cleric of the English Church, an office held by Thomas Becket, murdered after conflict with Henry II.
Augustus the Strong	Absolutism and the Early Modern State	Elector of Saxony and King of Poland known for his extravagant Dresden court and numerous illegitimate children.
banks	Economy, Society, and Culture	Financial institutions pioneered by Italian houses like the Medici, later central to European state finance.
Barcelona	High and Late Medieval Europe	Catalan capital and medieval Mediterranean trading power within the Crown of Aragon.
Battle of Las Navas de Tolosa	High and Late Medieval Europe	1212 battle in which a Christian coalition decisively defeated the Almohads, turning the tide of the Reconquista.
Battle of Lutzen	Reformation and the Wars of Religion	1632 Thirty Years' War battle where Gustavus Adolphus's Swedish forces won but the king himself was killed.
Carlists	Nationalism and Reform in Nineteenth-Century Europe	Spanish traditionalist faction backing a rival royal line, fighting several 19th-century civil wars against liberal Spain.
Carnation Revolution	Cold War and Contemporary Europe	1974 largely bloodless military coup that ended Portugal's Estado Novo dictatorship and began democratization.
Catherine of Aragon	Reformation and the Wars of Religion	First wife of Henry VIII of England, whose annulment battle precipitated England's break with Rome.
Charles Martel	Early Medieval Europe	Frankish leader who halted Umayyad expansion at the Battle of Tours in 732, grandfather of Charlemagne.
