# Mineralogy & Petrology
> Minerals and the igneous, sedimentary, and metamorphic rocks they form.
basalt | Fine-grained, mafic volcanic rock forming oceanic crust and lava flows, rich in iron and magnesium.
cirque | Bowl-shaped hollow carved by glacial erosion at the head of a mountain valley.
elevation | Height above sea level, influencing climate, atmospheric pressure, and landscape features.
humus | Dark organic matter in soil formed from decomposed plant and animal material.
mass wasting | Downslope movement of rock, soil, and debris under gravity, including landslides and mudflows.
moraines | Accumulations of rock debris deposited directly by a glacier, marking its extent or retreat.
pingos | Ice-cored mounds found in permafrost regions, formed by the freezing of groundwater beneath the surface.
sediment | Solid material transported and deposited by water, wind, or ice, the raw material of sedimentary rock.
soils | Weathered surface layers of mineral and organic material supporting plant life, classified by horizons.

# Hydrology & Oceanography
> Groundwater, rivers, oceans, and the circulation of Earth's water.
salinity | Measure of dissolved salt content in water, driving density-based ocean circulation.
aquifers | Underground layers of permeable rock or sediment that store and transmit groundwater.
tides | Periodic rise and fall of sea level caused by the gravitational pull of the Moon and Sun.
surface runoff | Water flowing over land after precipitation, feeding rivers and contributing to erosion.
ocean waves | Surface undulations of water driven by wind, generating coastal erosion and deposition.
upwelling | Process bringing cold, nutrient-rich deep water to the surface, boosting marine productivity.
ocean currents | Large-scale movements of seawater driven by wind, density differences, and Earth's rotation.
water | Essential compound cycling through Earth's hydrosphere via evaporation, precipitation, and runoff.
eutrophication | Excessive nutrient enrichment of water bodies causing algal blooms and oxygen depletion.
groundwater | Water stored beneath the surface in soil pores and rock fractures, accessed via wells and aquifers.
rivers | Flowing bodies of freshwater that shape landscapes through erosion, transport, and deposition of sediment.
turbidity | Measure of water clarity affected by suspended particles, often from sediment or algal growth.
thermohaline circulation | Global ocean circulation pattern driven by differences in water temperature and salinity.
Atlantic meridional overturning circulation | Major system of ocean currents, including the Gulf Stream, redistributing heat via density-driven circulation.
Atlantic Ocean | Second-largest ocean, separating the Americas from Europe and Africa, home to the Gulf Stream.
gyres | Large systems of rotating ocean currents driven by wind patterns and the Coriolis effect.
Algal Blooms | Rapid increase of algae in water, often driven by nutrient pollution, that can deplete oxygen and produce toxins.
dissolved oxygen | Amount of oxygen gas present in water, critical for aquatic life and affected by eutrophication.
estuaries | Coastal water bodies where freshwater rivers meet and mix with ocean saltwater.
floods | Overflow of water onto normally dry land, often caused by heavy precipitation or storm surge.
mangrove forests | Coastal wetland ecosystems of salt-tolerant trees that stabilize shorelines and buffer storm surges.
mean sea level | Average height of the ocean's surface, used as a reference datum for elevation and monitored for climate-driven rise.
oceanic currents | Large-scale movements of seawater driven by wind, density differences, and Earth's rotation.
river deltas | Landforms formed where a river deposits sediment as it enters a slower-moving body of water.
sea surface temperature | Temperature of the ocean's upper layer, a key indicator for phenomena like El Nino and hurricane formation.
vadose zone | Unsaturated subsurface zone between the ground surface and the water table.

# Atmospheric Science & Meteorology
> The atmosphere's structure, weather systems, and storms.
temperature | Fundamental atmospheric variable driving weather patterns, measured and modeled in forecasting.
clouds | Visible masses of condensed water droplets or ice crystals, classified by altitude and shape.
jet streams | Narrow bands of strong westerly winds in the upper troposphere that steer weather systems.
lapse rate | Rate at which atmospheric temperature decreases with altitude, key to atmospheric stability.
Coriolis effect | Apparent deflection of moving objects due to Earth's rotation, shaping wind and ocean current patterns.
Coriolis force | Apparent force causing moving objects to deflect due to Earth's rotation, shaping winds and currents.
ozone | Molecule (O3) concentrated in the stratosphere, absorbing harmful ultraviolet radiation.
weather forecasting | Prediction of atmospheric conditions using observational data and numerical models.
wind speed | Measurement of air movement rate, a key variable in storm intensity and weather prediction.
ionosphere | Upper atmospheric layer ionized by solar radiation, reflecting radio waves.
supercells | Severe, long-lived rotating thunderstorms capable of producing large hail and tornadoes.
tornadoes | Violently rotating columns of air extending from a thunderstorm to the ground.
hurricanes | Powerful tropical cyclones fueled by warm ocean water, forming a calm central eye surrounded by intense storms.
lightning | Sudden electrostatic discharge within a thunderstorm, occurring between clouds or between cloud and ground.
snow | Precipitation of ice crystals, forming when atmospheric water vapor freezes directly.
trade winds | Persistent easterly surface winds near the equator, part of the Hadley cell circulation.
tropopause | Boundary between the troposphere and stratosphere, where temperature stops decreasing with altitude.
Troposphere | Lowest layer of Earth's atmosphere, where nearly all weather occurs.
cirrus clouds | Thin, wispy, high-altitude clouds composed of ice crystals.
cyclones | Large-scale systems of rotating winds around a low-pressure center, including hurricanes and typhoons.
Ferrel cell | Mid-latitude atmospheric circulation cell between the Hadley and polar cells, driving variable weather patterns.
Foehn wind | Warm, dry wind descending the leeward side of a mountain range after losing moisture on the windward side.
fog | Cloud of water droplets suspended near the ground, reducing visibility.
fronts | Boundaries between air masses of different temperature and density, driving much of mid-latitude weather.
graupel | Soft, small ice pellets formed when supercooled water droplets freeze onto a falling snowflake.
hail | Precipitation of ice balls formed within strong thunderstorm updrafts.
mesosphere | Atmospheric layer above the stratosphere where meteors burn up, the coldest layer of Earth's atmosphere.
rain | Liquid precipitation formed when water droplets in clouds grow large enough to fall.
red sprites | Large-scale electrical discharges occurring high above thunderstorms, a form of upper-atmospheric lightning.
Rossby waves | Large-scale meanders in the jet stream and ocean currents caused by Earth's rotation, influencing weather patterns.
synoptic scale | Meteorological scale of weather systems spanning hundreds to thousands of kilometers, like cyclones and fronts.
Thermosphere | Uppermost atmospheric layer with extremely high temperatures, where auroras occur and satellites orbit.
tornado | Violently rotating column of air extending from a thunderstorm to the ground.
tropical cyclones | Large rotating storm systems fueled by warm ocean water, called hurricanes or typhoons regionally.
Walker circulation | Atmospheric circulation pattern over the tropical Pacific linked to El Nino and La Nina conditions.

# Climate & Paleoclimate
> Climate drivers, greenhouse gases, and the record of past climate change.
El Nino | Periodic warming of central and eastern Pacific surface waters, disrupting global weather patterns.
ocean acidification | Decrease in ocean pH from absorbing excess atmospheric CO2, threatening calcifying marine organisms.
ice cores | Cylindrical samples drilled from ice sheets, preserving trapped air bubbles used to reconstruct past climate.
Madden-Julian oscillation | Eastward-moving pattern of enhanced tropical rainfall and wind that influences global weather on a 30-60 day cycle.
albedo | Measure of a surface's reflectivity, with high values like ice and snow reflecting more incoming solar radiation.
atmospheric aerosols | Suspended particles in the atmosphere that can cool climate by reflecting sunlight or seed cloud formation.
carbon dioxide | Greenhouse gas central to the carbon cycle and modern climate change, absorbed by oceans and plants.
acid rain | Precipitation made acidic by atmospheric pollutants like sulfur dioxide and nitrogen oxides.
methane | Potent greenhouse gas released from wetlands, livestock, and permafrost thaw, far stronger than CO2 over short timescales.
Milankovitch cycles | Periodic variations in Earth's orbit and axial tilt that influence long-term climate patterns and glacial cycles.
oxygen gas | Atmospheric component produced by photosynthesis, whose rise in the Great Oxidation Event transformed early Earth's chemistry.
radiative forcing | Measure of the change in energy balance of Earth's atmosphere caused by factors like greenhouse gases.

# Geologic Time & Historical Geology
> The geologic periods, mass extinctions, and dating methods that chronicle Earth's history.
Carboniferous period | Paleozoic period (~359-299 Ma) known for extensive coal-forming swamp forests and giant arthropods.
Permian period | Last Paleozoic period (~299-252 Ma), ending in the largest mass extinction in Earth's history.
strata | Layers of sedimentary rock, whose sequence and characteristics record Earth's geologic history.
Triassic Period | First period of the Mesozoic era (~252-201 Ma), following the Permian extinction and preceding dinosaur diversification.
Cambrian explosion | Rapid diversification of complex animal life roughly 540 million years ago at the start of the Cambrian period.
Cambrian period | First period of the Paleozoic era (~541-485 Ma), marked by the rapid diversification of animal life.
carbon-14 | Radioactive isotope used to date organic materials up to about 50,000 years old.
fossils | Preserved remains or traces of ancient organisms, used to date rock strata and reconstruct past life.
Jurassic period | Middle period of the Mesozoic era (~201-145 Ma), marked by dinosaur dominance and the breakup of Pangaea.
meteorites | Extraterrestrial rock fragments that survive passage through the atmosphere to reach Earth's surface, some linked to mass extinctions.
Permian-Triassic extinction | The largest mass extinction in Earth's history, ending the Paleozoic era roughly 252 million years ago.
tree rings | Annual growth layers in trees used to date past events and reconstruct historical climate.
dating | Determining the age of rocks or fossils via methods like radiometric dating or stratigraphy.
Devonian period | Paleozoic period (~419-359 Ma) known as the "Age of Fishes," with early forests and tetrapods.
Eocene epoch | Cenozoic epoch (~56-34 Ma) marked by a warm climate and the diversification of mammals.
Pleistocene Epoch | Epoch (~2.6 Ma to 11,700 years ago) marked by repeated glacial cycles and the appearance of early humans.
stromatolites | Layered structures built by ancient microbial mats, among the oldest fossil evidence of life on Earth.

# Scientists & Foundational Concepts
> The researchers and theories underlying modern earth science.
Darcy's law | Equation describing the flow rate of fluid through a porous medium, foundational to groundwater hydrology.
John Tuzo Wilson | Canadian geophysicist who proposed transform faults and the Wilson cycle of ocean basin opening and closing.
remote sensing | Technique of gathering data about Earth's surface using satellite or airborne sensors rather than direct contact.
uniformitarianism | Principle that geologic processes observed today have operated similarly throughout Earth's history.
Vine-Matthews-Morley Hypothesis | Proposal explaining symmetric magnetic stripes on the seafloor as evidence for seafloor spreading.
