# The Ancient Near East & Middle East
> Mesopotamian cities and empires, Persian dynasties, Phoenician traders, and the rise of Islam across the Levant and Arabia.
Hittites | Bronze Age Anatolian empire, early adopters of iron and chariot warfare; rivaled Egypt at Kadesh.
Theodor Mommsen | German classicist and Nobel laureate who wrote the influential History of Rome.
Trajan | Roman emperor under whom the empire reached its greatest territorial extent, conquering Dacia.

# East Asia
> Chinese dynasties from Shang through the twentieth century, plus Tibet and the Silk Road networks linking China to the wider world.
Japan | Island nation with an imperial dynasty that industrialized rapidly in the Meiji era and fought in both World Wars.
China | East Asian civilization with continuous dynastic history from Shang through Qing, source of silk and Confucianism.
Deng Xiaoping | Chinese leader who succeeded Mao and launched market reforms opening China's economy from 1978.
Han dynasty | Chinese imperial dynasty following the Qin that expanded the empire and opened the Silk Road.
Ming dynasty | Chinese dynasty following Mongol Yuan rule, known for the Forbidden City and Zheng He's naval voyages.
oracle bones | Inscribed Shang dynasty divination tools bearing the earliest known Chinese writing.
Qin Dynasty | First imperial Chinese dynasty, under Qin Shi Huang, who unified China and built the Terracotta Army.
Shang Dynasty | Earliest Chinese dynasty with archaeological evidence, known for bronze vessels and oracle bone writing.
Silk Road | Trans-Eurasian trade network connecting China to the Mediterranean, carrying silk, spices, and Buddhism.
The Little Red Book | Collection of Mao Zedong's quotations distributed widely during China's Cultural Revolution.
Three Kingdoms period | Era after the Han dynasty's fall when China split into Wei, Shu, and Wu states.
Tibet | Himalayan plateau region, center of Tibetan Buddhism, historically autonomous before Chinese incorporation.

# South & Southeast Asia
> Indus Valley cities, Mauryan and Buddhist India, Sri Lanka, and the colonial and postcolonial states of the region.
Ashoka the Great | Mauryan emperor of India who embraced Buddhism after the Kalinga war and issued rock edicts.
Indus River | Major South Asian river that gave its name to the Bronze Age Indus Valley Civilization.
Sri Lanka | Island nation off India, formerly Ceylon, a center of Theravada Buddhism and ancient irrigation kingdoms.
Philippines = The Philippines | Southeast Asian archipelago colonized by Spain then the United States, site of the Philippine-American War.
British East India Company | British trading company that conquered and administered India before the 1858 Crown takeover.
Buddhism | Religion founded by Siddhartha Gautama in India, spread across Asia and promoted by Ashoka.
India | South Asian subcontinent, home to the Indus Valley, Mauryan, and Mughal civilizations before British colonial rule.
Indus Valley Civilization | Bronze Age civilization along the Indus River with cities like Mohenjo-daro and Harappa.

# Sub-Saharan & African History
> Kingdoms, migrations, and colonial-era nations of Africa outside the Nile Valley, from the Garamantes to modern South Africa and Nigeria.
South Africa | Southern African nation, site of Boer republics and apartheid before the Union formed in 1910.
Nigeria | West African nation home to Yoruba, Igbo, and Hausa peoples; former British colony, independent in 1960.
Bantu | Sub-Saharan language family and migration of peoples that spread agriculture and ironworking across Africa.
Madagascar | Large island off southeast Africa settled by Austronesian and African peoples, former French colony.
Garamantes | Berber civilization of the ancient Sahara in modern Libya, known for advanced underground irrigation.

# Pre-Columbian & Latin American History
> Mesoamerican and Andean civilizations before Columbus, plus the colonial and modern history of Latin America and the Caribbean.
Teotihuacan | Massive pre-Aztec Mesoamerican city near the Pyramid of the Sun, of uncertain founding people.
Olmecs | Earliest major Mesoamerican civilization, known for colossal stone heads; predecessors of the Maya and Aztecs.
Clovis culture | Prehistoric Paleo-Indian culture identified by distinctive fluted stone points found across the Americas.
Guano | Seabird excrement mined as fertilizer off Peru and Chile, sparking 19th-century Pacific wars over deposits.
Blackbeard | English pirate Edward Teach, active in the Caribbean and American colonies, killed off North Carolina in 1718.
Aztec Empire | Mesoamerican empire centered at Tenochtitlan, conquered by Hernan Cortes in 1521.
Barbados | Caribbean island colonized by the British, a key sugar and slave-plantation economy.
Brazil | Largest South American nation, a Portuguese colony known for sugar, gold, and later coffee economies.
Chile | South American nation, source of nitrate and guano wealth, fought the War of the Pacific.
Cuba | Caribbean island, a Spanish colony until 1898, site of the 1959 Castro revolution.
Ecuador | South American Andean nation named for the equator, part of Gran Colombia after independence from Spain.
Falklands War | 1982 conflict between Argentina and the United Kingdom over the South Atlantic islands.
Mexico | North American nation, site of the Aztec Empire, conquered by Spain, independent since 1821.
Nazca | Ancient Peruvian culture known for the Nazca Lines, giant geoglyphs etched into the desert.
Nazca culture | Peruvian civilization famous for its enormous desert geoglyphs and distinctive polychrome pottery.

# Oceania & the Pacific
> Indigenous and colonial history of Australia, New Zealand, and the Pacific islands, including Maori-British relations and Antarctic exploration.
New Zealand | South Pacific nation settled by Maori voyagers, later a British colony under the Treaty of Waitangi.
Australia | Island continent colonized by Britain from 1788 as penal settlements; home to Aboriginal peoples.
Maori | Indigenous Polynesian people of New Zealand who signed the Treaty of Waitangi with the British Crown in 1840.
Treaty of Waitangi | 1840 agreement between the British Crown and Maori chiefs establishing British sovereignty over New Zealand.
New South Wales | First British colony in Australia, founded in 1788 at Sydney as a penal settlement.
Aboriginal Australians | Indigenous peoples of Australia with one of the world's oldest continuous cultures, dispossessed by British colonization.
canoes | Watercraft central to Polynesian voyaging and the settlement of the Pacific islands.
Ernest Shackleton | British explorer of Antarctica who led the Endurance expedition; his ship was crushed by ice in 1915.
Marshall Islands | Pacific island nation, site of US nuclear weapons testing at Bikini Atoll after WWII.
Melbourne | Australian city in Victoria, founded in 1835, host of the 1956 Summer Olympics.
Musket Wars | Series of intertribal Maori conflicts in New Zealand fought with European firearms in the early 1800s.
Prime Minister of Australia | Head of government position in Australia's parliamentary system since federation in 1901.
Republic of Fiji | Pacific island nation, a former British colony independent since 1970, home to Indigenous Fijians and Indo-Fijians.
Robert Muldoon | Conservative New Zealand prime minister of the late 1970s-80s, known for economic controls and the 1981 Springbok tour crisis.

# Canada & Northern North America
> Canadian confederation, its provinces and prime ministers, and the indigenous peoples of the Arctic north.
Canada | British North American dominion formed by the 1867 confederation of former French and British colonies.
Vancouver | Pacific coast Canadian city in British Columbia, named for explorer George Vancouver.
Alaska | Northwestern North American territory purchased by the United States from Russia in 1867.
Lester Pearson | Canadian prime minister and diplomat who won the 1957 Nobel Peace Prize for mediating the Suez Crisis.
Nova Scotia | Maritime Canadian province, site of early French Acadian settlement and the British fortress of Louisbourg.
prohibition of alcohol | Early 20th-century ban on the manufacture and sale of alcohol, enacted across the US and Canadian provinces.
Thule | Ancient Inuit culture that spread across Arctic Canada and Greenland, ancestors of modern Inuit peoples.

# Modern Europe & the World Wars
> Nineteenth- and twentieth-century European states, the two World Wars, and the rise and fall of the Soviet Union.
Germany | Central European nation unified in 1871; central belligerent in both twentieth-century World Wars.
France | Western European nation, major WWI belligerent alongside Britain and Russia against Germany.
World War I | 1914-1918 global conflict triggered by the assassination of Franz Ferdinand; ended the Ottoman and Russian empires.
Ireland | Island nation that gained independence from Britain in 1922 after centuries of British rule.
1980s | Decade of Cold War tension, the Falklands War, and the start of Deng Xiaoping's market reforms in China.
United Kingdom | Union centered on Britain, head of a global empire and belligerent in both World Wars.
Berlin | German capital, divided during the Cold War, site of the 1989 Wall's fall.
Bulgaria | Balkan nation, a Central Power ally in WWI, later a Soviet-bloc communist state.
conscription | Compulsory military service; mass mobilization policy that expanded dramatically in WWI-era Europe.
Portugal | European nation whose maritime empire once spanned Brazil, Africa, and Asia.
radar | Detection technology developed by Britain before WWII, decisive in the Battle of Britain.
Romania | Balkan nation that joined WWI against the Central Powers, later a Soviet-bloc state under Ceausescu.
Russia | Eurasian nation, an imperial power under the Tsars until the 1917 Revolution ended Romanov rule.
Scotland | Northern part of Great Britain, united with England by the 1707 Act of Union.
Soviet Union | Communist state formed after the 1917 Russian Revolution, dissolved in 1991.
Sutton Hoo | Early medieval Anglo-Saxon ship burial site in England containing a ceremonial helmet and treasure hoard.
Vladimir Lenin | Bolshevik revolutionary leader who founded the Soviet Union after the 1917 October Revolution.

# Trade, Technology & Material Culture
> Common-link commodities, materials, and archaeological objects, from metals and crops to artifacts, traded and used across many civilizations.
jade | Prized green stone carved for ritual objects in ancient China and Mesoamerica alike.
maps | Cartographic documents; common-link topic spanning ancient geography like Ptolemy's work to the Age of Exploration.
coins | Metal currency; common-link topic from Lydian invention through Roman and Chinese minting traditions.
iron | Metal whose smelting ended the Bronze Age; associated with Hittite technology and the Iron Age.
tin | Metal alloyed with copper to make bronze; its scarcity drove long-distance Bronze Age trade.
chariots | Wheeled horse-drawn vehicles central to Bronze Age warfare among Hittites, Egyptians, and Mycenaeans.
coffee | Stimulant crop originating in Ethiopia, later cultivated across Arabia, Latin America, and colonial Southeast Asia.
microhistory | Historiographical method examining a small-scale subject, like a village or trial, to illuminate broader trends.
water | Common-link theme covering irrigation, aqueducts, and maritime trade routes across civilizations.
bronze | Alloy of copper and tin that defined the Bronze Age across the Near East, Mediterranean, and China.
camels | Domesticated pack animals central to trans-Saharan and Silk Road caravan trade.
copper | Early-smelted metal, alloyed with tin for bronze, mined across Cyprus and the ancient Near East.
gold | Precious metal driving ancient trade routes and colonial ventures, from Nubia's mines to the Spanish conquest of the Americas.
opium | Narcotic crop at the center of the 19th-century Opium Wars between Britain and Qing China.
purple | Tyrian purple dye extracted from murex snails, prized in antiquity and named for Phoenician production centers.
rubber | Latex commodity from the Amazon and later the Congo and Southeast Asia, driving colonial exploitation.
salt | Preservative mineral traded via trans-Saharan routes and taxed under monopolies like the one Gandhi's Salt March targeted.
terracotta | Fired clay material used for China's Terracotta Army as well as Greek pottery and figurines.
urns | Vessels used across cultures for storage and funerary ash burial, closely studied by archaeologists.
wine | Fermented grape beverage central to Mediterranean trade and culture from ancient Greece and Rome to Gaul.
archaeology | Discipline of excavating and studying the material remains of past human societies.
bananas | Tropical fruit crop associated with Central American "banana republics" and the United Fruit Company.
cricket | British bat-and-ball sport spread throughout the empire, notably to Australia, India, and the Caribbean.
divination | Practice of predicting the future, historically via oracle bones, entrails, or astrology across cultures.
horses | Domesticated animal that revolutionized warfare and transport across Eurasia and later the Americas.
Iron Age | Archaeological period following the Bronze Age marked by widespread iron tool and weapon use.
Jesuits | Catholic religious order active in missionary work across China, Japan, and colonial Latin America.
land | Common-link theme covering land tenure, reform, and ownership disputes across societies.
rice | Staple grain crop foundational to agriculture across East and Southeast Asia.
Sheep | Domesticated livestock central to pastoral economies and the wool trade in ancient and colonial societies.
shells | Used historically as currency (cowries) and ornamentation across African, Pacific, and Native American trade.
shipwrecks | Sunken vessels studied by underwater archaeologists to reconstruct ancient trade and seafaring.
silk | Luxury textile originating in China, the namesake commodity of the trans-Eurasian Silk Road.
silphium | Ancient North African plant prized by Cyrene for medicinal and contraceptive use; harvested to extinction.
tea | Beverage crop originating in China, central to British colonial trade with India and the Opium Wars.
tombs | Burial structures studied archaeologically across Egyptian, Chinese, and other ancient cultures.
Venus | Refers to prehistoric Paleolithic carved female figurines found across Europe, presumed fertility or religious symbols.
whales | Marine mammals hunted historically for oil and baleen, driving the 19th-century whaling industry.
witches | Alleged practitioners of malevolent magic, subject to historical persecutions like the European witch trials.
wood | Building and shipbuilding material whose scarcity shaped naval power, as with the cedar of Lebanon or English oak.
