Jacob	Materials, Motifs, and Common-Link Subjects
Lady Macbeth	Materials, Motifs, and Common-Link Subjects	Common-link Shakespearean figure depicted sleepwalking in Victorian narrative painting.
Lady with an Ermine	Italian Renaissance and Mannerism	Leonardo's High Renaissance portrait of a woman holding a small white animal.
Laurie Anderson	Abstract Expressionism, Pop Art, and Contemporary Art	American performance and multimedia artist known for experimental spoken-word works.
letters	Materials, Motifs, and Common-Link Subjects	Common-link motif in text-based conceptual art, from Magritte to Jenny Holzer.
lights	Materials, Motifs, and Common-Link Subjects	Common-link material/motif, notably Dan Flavin's fluorescent light sculptures.
lines	Materials, Motifs, and Common-Link Subjects	Common-link formal element central to drawing and abstract composition.
Loplop	Surrealism and Dada	Max Ernst's recurring bird alter ego appearing throughout his Surrealist works.
Los Angeles, California	Materials, Motifs, and Common-Link Subjects	Common-link city home to major contemporary art museums and the Getty collection.
Louis-Jacques-Mande Daguerre	Sculpture, Architecture, and Photography	French inventor of the daguerreotype, an early practical photographic process.
Louise	Materials, Motifs, and Common-Link Subjects
Louvre Museum	Materials, Motifs, and Common-Link Subjects	Paris museum housing the Mona Lisa and one of the world's largest art collections.
Lucian Michael Freud	Abstract Expressionism, Pop Art, and Contemporary Art	Full name of Lucian Freud, British figurative painter of thickly textured nudes and portraits.
Luncheon on the Grass	Realism, Impressionism, and Post-Impressionism	Manet's painting scandalizing Paris with a nude woman picnicking among clothed men.
Luxe, Calme et Volupte	Cubism, Expressionism, and Early Modernism	Matisse's early painting blending Pointillist dots with the loose color that led to Fauvism.
M. C. Escher	Abstract Expressionism, Pop Art, and Contemporary Art	Dutch graphic artist known for mathematically inspired tessellations and impossible structures.
Madame X	Realism, Impressionism, and Post-Impressionism	Sargent's scandalous portrait of a pale society woman in a daring black gown.
Madonna of the Goldfinch	Italian Renaissance and Mannerism	Raphael's High Renaissance painting of the Christ Child and young John the Baptist with a bird.
Madonna with the Long Neck	Italian Renaissance and Mannerism	Parmigianino's Mannerist painting of an elongated Madonna and Child.
Mali	Global Traditions and Muralism	West African country known for the mudbrick architecture of Djenne's Great Mosque.
Malle Babbe	Baroque and Rococo	Frans Hals's Dutch Golden Age portrait of a laughing woman with an owl.
Manhattan	Materials, Motifs, and Common-Link Subjects	Common-link New York borough central to American modern and contemporary art.
Maxfield Parrish	Abstract Expressionism, Pop Art, and Contemporary Art	American illustrator known for luminous, saturated skies in fantastical scenes.
Maya Lin	Sculpture, Architecture, and Photography	American architect/sculptor known for the minimalist Vietnam Veterans Memorial.
medals	Materials, Motifs, and Common-Link Subjects	Common-link Renaissance portrait format, small cast bronze profile likenesses.
Medici	Materials, Motifs, and Common-Link Subjects	Florentine banking family whose patronage fueled the Italian Renaissance.
melancholy	Materials, Motifs, and Common-Link Subjects	Common-link mood personified in Durer's densely symbolic engraving Melencolia I.
Merz	Surrealism and Dada	Kurt Schwitters's Dada collage assemblages built from discarded scraps.
Milan	Materials, Motifs, and Common-Link Subjects	Italian city home to Leonardo's Last Supper mural.
militias	Materials, Motifs, and Common-Link Subjects	Common-link subject of Dutch civic guard group portraits like Rembrandt's Night Watch.
Milton Glaser	Abstract Expressionism, Pop Art, and Contemporary Art	American graphic designer known for the I Love NY logo and psychedelic Dylan poster.
miniature painting	Global Traditions and Muralism	Small-format painting tradition central to Mughal and Persian manuscript art.
miniature paintings	Global Traditions and Muralism	Small-format painting tradition central to Mughal and Persian manuscript art.
miniature portraits	Materials, Motifs, and Common-Link Subjects	Common-link small-format portrait genre popular from the Renaissance through the 19th century.
Modern Painters	Materials, Motifs, and Common-Link Subjects	John Ruskin's multivolume work of art criticism championing Turner and the Pre-Raphaelites.
Mongolia	Global Traditions and Muralism	Common-link country with its own Buddhist thangka painting tradition.
Mont Sainte-Victoire	Realism, Impressionism, and Post-Impressionism	Mountain in southern France repeatedly painted by Cezanne in his Post-Impressionist series.
Mughal emperors	Global Traditions and Muralism	Subjects of richly detailed South Asian Mughal miniature paintings.
mummies	Ancient, Medieval, and Byzantine Art	Ancient Egyptian preserved bodies often adorned with Fayum-style funerary portraits.
Musee d'Orsay	Materials, Motifs, and Common-Link Subjects	Paris museum housed in a former railway station, famed for its Impressionist collection.
Museo del Prado	Materials, Motifs, and Common-Link Subjects	Madrid's national museum holding major works by Velazquez, Goya, and El Greco.
Nadar	Sculpture, Architecture, and Photography	Pioneering French photographer who hosted the first Impressionist exhibition in his studio.
Napoleon Crossing the Alps	Neoclassicism, Romanticism, and Nineteenth-Century Landscape	David's heroic Neoclassical equestrian portrait of Napoleon.
Narcissus	Materials, Motifs, and Common-Link Subjects	Common-link mythological youth depicted gazing at his own reflection, notably by Caravaggio.
Natalia Goncharova	Cubism, Expressionism, and Early Modernism	Russian avant-garde painter blending Cubo-Futurism with folk-art motifs.
National Gallery of Art	Materials, Motifs, and Common-Link Subjects	Washington, D.C. museum holding a major collection of European and American art.
National Museum of African American History and Culture	Materials, Motifs, and Common-Link Subjects	Smithsonian museum documenting African American history and art on the National Mall.
Nefertiti	Ancient, Medieval, and Byzantine Art	Ancient Egyptian queen famed for a strikingly naturalistic painted limestone bust.
neon lights	Abstract Expressionism, Pop Art, and Contemporary Art	Common-link material used in contemporary art, notably Dan Flavin's light sculptures.
Nigeria	Global Traditions and Muralism	Common-link country home to Yoruba and Benin bronze sculptural traditions.
Nike	Ancient, Medieval, and Byzantine Art	Greek goddess of victory depicted in the ancient Winged Victory of Samothrace.
Niki de Saint Phalle	Abstract Expressionism, Pop Art, and Contemporary Art	French sculptor known for colorful, voluptuous "Nana" figures.
nuclear energy	Materials, Motifs, and Common-Link Subjects	Common-link modern subject occasionally referenced in Cold War-era protest and conceptual art.
