# Medieval and Renaissance
> Chant, polyphony, and early vocal music from Hildegard through Palestrina, Byrd, and the Renaissance madrigalists and motet composers.
Thomas Tallis | English Renaissance composer of Tudor sacred music, including the 40-voice motet Spem in Alium.
Ludwig van Beethoven | German composer bridging Classical and Romantic eras; nine symphonies, the opera Fidelio, and 32 piano sonatas.
Franz Joseph Haydn | Austrian "father of the symphony and string quartet"; longtime Esterhazy court composer, wrote the oratorio The Creation.
Joseph Haydn | Austrian Classical composer, mentor to Mozart and teacher of Beethoven; prolific symphonist and string quartet pioneer.
Luigi Boccherini | Italian Classical-era cellist-composer active in Spain, best known for a famous Minuet from a string quintet.
Johann Nepomuk Hummel | Austrian pianist-composer, a pupil of Mozart, bridging Classical style toward early Romanticism.
Muzio Clementi | Italian-English Classical pianist-composer known for pedagogical sonatinas and piano method books.
Carl Czerny | Austrian pianist-pedagogue who studied with Beethoven and taught Liszt, remembered for his piano etudes.
Eroica Symphony | Beethoven's Symphony No. 3, originally dedicated to Napoleon before he crowned himself emperor.
piano sonatas by Ludwig van Beethoven | Beethoven's cycle of 32 piano sonatas, spanning his entire career from Classical style to late innovation.
The Creation | Haydn's oratorio depicting the biblical creation story, inspired by his encounter with Handel's oratorios in London.
Antonio Salieri | Italian composer at the Viennese court, a contemporary and rumored rival of Mozart, later Beethoven's teacher.
piano sonatas by Wolfgang Amadeus Mozart | Mozart's cycle of 18 piano sonatas, including the famous C major "Sonata facile."
Carl Philipp Emanuel Bach | Son of J.S. Bach whose expressive "empfindsamer Stil" keyboard works influenced Haydn and early Classical style.
Moonlight Sonata | Nickname for Beethoven's Piano Sonata No. 14, its famous opening movement a hushed, triplet-based reverie.
piano concertos by Wolfgang Amadeus Mozart | Mozart's cycle of 27 piano concertos, central to the genre's Classical-era development.
"Farewell" Symphony = Farewell Symphony | Nickname for Haydn's Symphony No. 45, whose musicians leave the stage one by one at its close.
"Surprise" Symphony = Surprise Symphony | Nickname for Haydn's Symphony No. 94, featuring a sudden loud chord in its otherwise quiet slow movement.
Jupiter Symphony | Nickname for Mozart's final Symphony No. 41, celebrated for its contrapuntal finale.
Leopold Mozart | Composer-violinist and pedagogue, father and first teacher of Wolfgang Amadeus Mozart.
London symphonies | Haydn's final set of twelve symphonies, written for triumphant concert visits to London.
symphonies by Ludwig van Beethoven | Beethoven's cycle of nine symphonies, expanding the form's scale and emotional range across his career.
The Seasons | Haydn's oratorio depicting rural life through the four seasons, a companion to his earlier Creation.
Carl Ditters von Dittersdorf | Austrian Classical composer and violinist, a contemporary of Haydn and Mozart.
Fur Elise = "Fur Elise" | Beethoven's famous short piano bagatelle, dedicated to an unidentified "Elise."
Johann Stamitz | Founder of the Mannheim school and orchestra, a key precursor to the Classical symphonic style.
Military Symphony | Nickname for Haydn's Symphony No. 100, featuring percussion suggesting Turkish military bands.
Pastoral Symphony | Nickname for Beethoven's Symphony No. 6, evoking scenes of countryside and a passing thunderstorm.
string quartets by Franz Joseph Haydn | Haydn's pioneering body of string quartets that established the genre's four-movement form.
string quartets by Ludwig van Beethoven | Beethoven's quartets, spanning early Classical works to visionary late compositions like the Grosse Fuge.
symphonies by Franz Joseph Haydn | Haydn's output of over 100 symphonies, earning him the nickname "father of the symphony."
Symphony No. 40 in G minor | One of Mozart's final symphonies, notable for its urgent minor-key opening theme.
Symphony No. 9 | Beethoven's final, "Choral" symphony, setting Schiller's "Ode to Joy" for vocal soloists and chorus.
"Ode to Joy" | Choral finale theme of Beethoven's Symphony No. 9, setting Schiller's poem on universal brotherhood.
Anton Diabelli | Austrian publisher-composer whose simple waltz theme inspired Beethoven's monumental Diabelli Variations.
C. P. E. Bach | Abbreviated name of J.S. Bach's son, whose expressive keyboard style influenced early Classical composers.
galant style | Light, elegant early Classical style that emerged as a reaction against Baroque complexity.
George Bridgetower | Black violinist for whom Beethoven originally intended to dedicate his "Kreutzer" Sonata.
Grosse Fuge | Beethoven's massive, dissonant fugal movement, originally the finale of a late string quartet.
Kreutzer Sonata | Beethoven's demanding Violin Sonata No. 9, dedicated to violinist Rodolphe Kreutzer.
Michael Haydn | Austrian Classical composer, younger brother of Joseph Haydn, active in Salzburg sacred music.
Paris Symphonies | Set of six symphonies Haydn composed on commission for Parisian concert audiences.
Pathetique sonata | Nickname for Beethoven's Piano Sonata No. 8, notable for its dramatic minor-key intensity.
piano concertos by Ludwig van Beethoven | Beethoven's five piano concertos, including the popular "Emperor" Concerto.
Ridolfo Luigi Boccherini | Full name of the Italian Classical-era cellist-composer known for a famous Minuet.
symphonies by Wolfgang Amadeus Mozart | Mozart's output of 41 numbered symphonies, culminating in the "Jupiter."
Symphony no. 6 | Beethoven's "Pastoral" Symphony, evoking scenes of countryside and a passing thunderstorm.
the Diabelli Variations | Beethoven's monumental set of piano variations on a simple waltz theme by publisher Anton Diabelli.
Wolfgang Amadeus Mozart's piano concertos | Mozart's cycle of 27 piano concertos, central to the genre's Classical-era development.

# Romanticism
> Nineteenth-century German and Austrian symphonists, virtuoso pianists, and song composers who expanded harmony, orchestral scale, and emotional expression.
Johannes Brahms | German Romantic composer of four symphonies, the German Requiem, and dense chamber and piano works; seen as Beethoven's heir.
Robert Schumann | German Romantic composer of piano cycles like Carnaval and Kinderszenen and song cycles; married pianist Clara Schumann.
Franz Liszt | Hungarian virtuoso pianist-composer of the Hungarian Rhapsodies and symphonic poems; pioneered thematic transformation.
Franz Schubert | Austrian composer of over 600 lieder and the "Unfinished" and "Great" symphonies; died young at 31.
Gustav Mahler | Austrian late-Romantic composer of nine numbered symphonies and song cycles like Das Lied von der Erde; also a leading conductor.
Frederic Chopin | Polish-French Romantic composer almost exclusively for solo piano; wrote nocturnes, mazurkas, polonaises, and etudes.
Hector Berlioz | French Romantic composer of the programmatic Symphonie Fantastique, known for innovative orchestration and the idee fixe device.
Sergei Rachmaninoff | Late-Romantic Russian composer-pianist known for lush piano concertos and the Rhapsody on a Theme of Paganini.
Camille Saint-Saens | French Romantic composer of Carnival of the Animals, the Organ Symphony, and the opera Samson and Delilah.
Felix Mendelssohn | German early-Romantic composer of the Italian and Scottish symphonies, Elijah, and the Midsummer Night's Dream incidental music.
Niccolo Paganini | Italian virtuoso violinist-composer famed for dazzling technique in his 24 Caprices; inspired Liszt's pianistic virtuosity.
Richard Strauss | German late-Romantic composer of the tone poems Also sprach Zarathustra and Don Juan and the operas Salome and Der Rosenkavalier.
Anton Bruckner | Austrian late-Romantic symphonist known for massive, devout symphonies influenced by Wagner's harmony.
Carl Maria von Weber | Early German Romantic composer whose opera Der Freischutz helped launch German Romantic opera.
Ottorino Respighi | Italian composer of the orchestral tone poems Pines of Rome and Fountains of Rome, known for lush, colorful orchestration.
Cesar Franck | Belgian-French Romantic organist-composer known for the cyclic Symphony in D minor and a Violin Sonata.
Franz Peter Schubert | Full name of the Austrian composer of over 600 lieder and the "Unfinished" Symphony.
Gabriel Faure | French Romantic composer known for a serene Requiem and refined art songs and chamber music.
Max Bruch | German Romantic composer best known for his Violin Concerto No. 1 and the cello-and-orchestra piece Kol Nidrei.
Carnaval | Robert Schumann's piano cycle of character pieces representing masked figures and fellow musicians.
Clara Schumann | German Romantic pianist-composer and Robert Schumann's wife, a leading concert virtuoso of her era.
Louis Moreau Gottschalk | American Romantic virtuoso pianist-composer who blended Creole and Caribbean idioms into concert works.
The Carnival of the Animals | Saint-Saens's suite of humorous musical portraits of animals, including "The Swan" for cello.
Felix Mendelssohn Bartholdy | Full name of the German early-Romantic composer of the Italian and Scottish symphonies.
Also sprach Zarathustra | Richard Strauss's tone poem after Nietzsche, its opening famous from 2001: A Space Odyssey.
Sergei Vasilievich Rachmaninoff | Full name of the late-Romantic Russian composer-pianist known for lush piano concertos.
Songs Without Words | Mendelssohn's collection of lyrical, wordless piano character pieces published across several volumes.
Winterreise | Schubert's song cycle following a rejected lover's bleak winter journey, set to poems by Wilhelm Muller.
Danse macabre | Saint-Saens's symphonic poem depicting Death fiddling as skeletons dance at midnight on Halloween.
Das Lied von der Erde | Mahler's symphonic song cycle setting Chinese poetry in German translation, reflecting on mortality.
Gustav Mahler's Symphony No. 2 | Mahler's "Resurrection" Symphony, ending with a massive choral setting on themes of death and rebirth.
Johann Strauss II | Austrian "Waltz King" known for The Blue Danube and the operetta Die Fledermaus.
Resurrection Symphony | Nickname for Mahler's Symphony No. 2, ending with a massive choral setting on death and rebirth.
A Midsummer Night's Dream | Mendelssohn's overture and incidental music for Shakespeare's comedy, including the famous "Wedding March."
An Alpine Symphony | Richard Strauss's tone poem depicting a day's mountain ascent and descent in vivid orchestral detail.
Dichterliebe | Schumann's song cycle setting Heine's poems on the pain and joy of love.
Die schone Mullerin | Schubert's song cycle following a miller's apprentice through unrequited love and eventual despair.
Frederick Delius | English late-Romantic composer known for lush, chromatic pastoral works like On Hearing the First Cuckoo in Spring.
Holberg Suite | Grieg's suite for string orchestra written in homage to the Danish-Norwegian writer Ludvig Holberg.
Hugo Wolf | Austrian composer renowned for intensely expressive art songs, especially settings of Morike and Goethe.
Joseph Joachim | German-Hungarian virtuoso violinist and close friend of Brahms, who dedicated his Violin Concerto to him.
Symphonie Fantastique | Berlioz's programmatic symphony depicting an artist's opium-fueled obsession, unified by a recurring idee fixe.
Cecile Chaminade | French Romantic composer-pianist known for salon-style piano pieces and the Concertino for flute.
Charles-Valentin Alkan | Reclusive French Romantic virtuoso pianist-composer known for fiendishly difficult piano works.
Death and the Maiden | Nickname for Schubert's String Quartet No. 14, based on his earlier song of the same name.
Edouard Lalo | French Romantic composer best known for the Spanish-flavored violin showpiece Symphonie espagnole.
Ein Heldenleben | Richard Strauss's autobiographical tone poem depicting a hero's life and battles with his critics.
Emmanuel Chabrier | French Romantic composer known for the vibrant orchestral rhapsody España.
Frederic Chopin's ballades | Chopin's four narrative-style piano works, blending virtuosity with dramatic, story-like structure.
Frederic Francois Chopin | Full name of the Polish-French Romantic composer for solo piano.
Fritz Kreisler | Austrian virtuoso violinist-composer known for short salon pieces, some published as pastiches of older masters.
Gustav Mahler's Symphony No. 1 in D-major | Mahler's "Titan" Symphony, incorporating a funeral march based on "Frere Jacques."
Gustav Mahler's Symphony No. 5 | Mahler symphony whose Adagietto movement became famous after use in the film Death in Venice.
Hungarian Rhapsodies | Liszt's set of piano works drawing on Hungarian Gypsy-style melodies and virtuosic display.
Incidental Music to A Midsummer Night's Dream | Mendelssohn's suite for Shakespeare's comedy, including the famous "Wedding March."
Mephisto Waltzes | Liszt's set of piano and orchestral works inspired by the Faust legend's demonic seducer.
Organ Symphony | Nickname for Saint-Saens's Symphony No. 3, featuring a prominent pipe organ part.
Pines of Rome = The Pines of Rome | Respighi's orchestral tone poem depicting Roman pine trees in four different settings, including a recorded nightingale.
Richard Georg Strauss | Full name of the German late-Romantic composer of Also sprach Zarathustra and Salome.
Symphony of a Thousand | Nickname for Mahler's Symphony No. 8, scored for enormous vocal and instrumental forces.
Totentanz | Liszt's work for piano and orchestra built on variations of the Dies irae chant, depicting a "Dance of Death."
Transcendental Etudes | Liszt's set of virtuosic piano studies pushing technical and expressive limits of the instrument.
Unfinished Symphony | Nickname for Schubert's Symphony No. 8, left with only two completed movements.
Vincent d'Indy | French Romantic composer and pupil of Cesar Franck, known for the Symphony on a French Mountain Air.
Amy Beach | American Romantic composer, among the first American women to achieve success with large-scale orchestral works.
Charles-Marie Widor | French Romantic organist-composer known for the Toccata from his Organ Symphony No. 5.
Eugene Ysaye | Belgian virtuoso violinist-composer known for six demanding unaccompanied violin sonatas.
Ferruccio Busoni | Italian-German pianist-composer known for transcriptions of Bach and a transitional late-Romantic style.
Four Last Songs | Richard Strauss's final orchestral songs, composed near the end of his life on themes of farewell.
Gabriel Urbain Faure | Full name of the French Romantic composer known for a serene Requiem and refined art songs.
Henryk Wieniawski | Polish virtuoso violinist-composer known for technically demanding concertos and showpieces.
Johann Wolfgang von Goethe | German poet whose works inspired musical settings, including Schubert's "Erlkonig" and Beethoven's Egmont.
Kinderszenen | Schumann's piano cycle of nostalgic scenes from childhood, including "Traumerei."
Les preludes | Liszt's symphonic poem, one of the first works to bear that genre name, inspired by Lamartine.
Max Reger | German late-Romantic composer known for dense chromatic counterpoint and organ works.
Mendelssohn | Surname of the German early-Romantic composer of the Italian and Scottish symphonies.
Schumann | Surname shared by German Romantic composer Robert Schumann and his pianist wife Clara.
song cycles | Sets of related songs telling a unified narrative or exploring a theme, as pioneered by Schubert.
symphonies by Johannes Brahms | Brahms's four symphonies, seen as continuing Beethoven's symphonic legacy.
Symphony No. 5 by Gustav Mahler | Mahler symphony whose Adagietto movement became famous after use in the film Death in Venice.
Trout Quintet | Schubert's Piano Quintet whose variation movement is based on his song "Die Forelle."
"Der Erlkonig" = Der Erlkonig | Schubert's dramatic lied setting Goethe's ballad of a father, son, and a supernatural pursuer.
"March to the Scaffold" | Movement from Berlioz's Symphonie Fantastique depicting the artist's dream of his own execution.
A German Requiem | Brahms's Requiem setting German biblical texts rather than the Latin liturgy, emphasizing comfort for the living.
Cesar Franck's Symphony in D minor | Franck's only symphony, notable for its cyclic reuse of themes across movements.
Charles-Camille Saint-Saens | Full name of the French Romantic composer of Carnival of the Animals and the Organ Symphony.
Dolly Suite | Gabriel Faure's piano duet suite of gentle character pieces written for a friend's daughter.
Don Quixote | Richard Strauss's tone poem depicting the deluded knight's adventures through variation form.
etudes by Frederic Chopin | Chopin's technical study collections that doubled as concert-worthy expressive works.
Felix Mendelssohn's Violin Concerto in E minor, Op. 64 | Mendelssohn's lyrical, tightly structured concerto, a cornerstone of the violin repertoire.
Harold in Italy | Berlioz's symphony with a prominent solo viola part, inspired by Byron and written for Paganini.
Howard Hanson | American neo-Romantic composer known for his lushly orchestrated Symphony No. 2, "Romantic."
Hungarian Dances | Brahms's orchestral dance set based on Hungarian and Romani melodic style.
Hungarian Rhapsody No. 2 in C-sharp minor | Liszt's most famous piano rhapsody, built on Hungarian Gypsy-style themes.
Isle of the Dead | Rachmaninoff's somber tone poem inspired by Arnold Bocklin's painting of the same name.
Leo Delibes | French Romantic composer known for the ballets Coppelia and Sylvia.
Leopold Godowsky | Virtuoso pianist-composer known for extraordinarily difficult transcriptions of Chopin's etudes.
Louise Farrenc | French Romantic composer-pianist known for symphonies and chamber works only recently rediscovered.
On Hearing the First Cuckoo in Spring | Frederick Delius's short orchestral idyll evoking a spring birdcall through lush chromatic harmony.
piano etudes by Frederic Chopin | Chopin's technical study collections that doubled as concert-worthy expressive works.
Preludes by Frederic Chopin | Chopin's set of 24 short piano pieces in every major and minor key.
Serenade for Strings | Common Romantic-era title for a lyrical string-orchestra work, notably by Tchaikovsky and Dvorak.
Sergei Rachmaninov | Spelling variant of the late-Romantic Russian composer-pianist known for lush piano concertos.
Sergei Vasilyevich Rachmaninoff | Full name variant of the late-Romantic Russian composer-pianist known for lush piano concertos.
Songs of a Wayfarer | Mahler's early song cycle on a rejected lover's wandering grief, reusing themes in his First Symphony.
Symphonie Espagnole | Edouard Lalo's violin showpiece drawing on Spanish rhythms and color.
Symphony No. 2 by Gustav Mahler | Mahler's "Resurrection" Symphony, ending with a massive choral setting on death and rebirth.
Till Eulenspiegel's Merry Pranks | Richard Strauss's tone poem depicting the mischievous exploits of a German folk trickster.
Treatise on Instrumentation | Berlioz's influential 19th-century manual on orchestration, shaping generations of composers.

# Opera
> Opera composers, works, singers, and terminology spanning Monteverdi's earliest experiments through twentieth-century stage works, across every national tradition.
Claudio Monteverdi | Early Baroque composer of L'Orfeo (1607), among the first operas still regularly performed; bridged Renaissance madrigal and Baroque monody.
Henry Purcell | English Baroque composer of the opera Dido and Aeneas, noted for its lament "When I am laid in earth."
Richard Wagner | German composer of music dramas including the Ring cycle, Tristan und Isolde, and Lohengrin; pursued the Gesamtkunstwerk ideal.
Jean-Philippe Rameau | French Baroque composer and theorist who wrote tragedies en musique and a landmark treatise on harmony.
Jean-Baptiste Lully | Italian-born French Baroque composer who created French tragedie en musique under Louis XIV's patronage.
Giuseppe Verdi | Mid-Romantic Italian opera composer of Rigoletto, La Traviata, and Aida, tightening opera's drama and psychological focus.
Charles Gounod | French Romantic opera composer best known for Faust, based on Goethe's drama.
Christoph Willibald Gluck | German-born opera reformer who simplified opera seria conventions in works like Orfeo ed Euridice.
Georges Bizet | French Romantic opera composer best known for Carmen, set among Seville cigarette factory workers and smugglers.
Luigi Cherubini | Italian composer active in Paris whose operas, including Medee, were admired by Beethoven.
Giacomo Meyerbeer | German-born composer who dominated Parisian grand opera with spectacular works like Les Huguenots.
Giacomo Puccini | Italian verismo opera composer of La Boheme, Tosca, and Madama Butterfly.
Gioachino Rossini | Italian opera composer known for comic works like The Barber of Seville and the overture to William Tell.
Jules Massenet | French Romantic opera composer known for Manon and Thais, including its famous "Meditation."
Tristan und Isolde | Wagner's music drama of doomed love, famous for the harmonically ambiguous "Tristan chord."
Carmen | Bizet's opera set among Seville cigarette factory workers and smugglers, centered on the femme fatale Carmen.
Don Giovanni | Mozart's opera buffa recounting the seductions and eventual damnation of the legendary libertine.
Gaetano Donizetti | Italian bel canto opera composer of Lucia di Lammermoor and the comic L'elisir d'amore.
Gian Carlo Menotti | Italian-American opera composer of Amahl and the Night Visitors and founder of the Spoleto Festival.
Jacques Offenbach | German-born French composer of operettas like Orpheus in the Underworld and the opera The Tales of Hoffmann.
Salome | Richard Strauss's shocking one-act opera after Oscar Wilde, ending with the title character's "Dance of the Seven Veils."
Arthur Sullivan | English composer, half of Gilbert and Sullivan, known for comic operettas like The Mikado and H.M.S. Pinafore.
Dido | Legendary queen of Carthage whose tragic love and death are set in Purcell's opera and Berlioz's Les Troyens.
Dido and Aeneas | Purcell's opera dramatizing the doomed love of Dido and Aeneas, famous for its closing lament.
Tannhauser | Wagner's opera of a knight torn between sacred and profane love, featuring the Venusberg and a song contest.
Boris Godunov | Mussorgsky's opera on the guilt-ridden Russian tsar, adapted from Pushkin's historical drama.
Elektra | Richard Strauss's intense one-act opera on Greek myth's vengeful daughter of Agamemnon.
Lohengrin | Wagner's opera of a mysterious swan knight, source of the wedding processional "Here Comes the Bride."
The Magic Flute | Mozart's Singspiel blending spoken dialogue and song, rich with Masonic symbolism.
Tristan and Isolde | Wagner's music drama of doomed love, famous for the harmonically ambiguous "Tristan chord."
