# Baroque & Classical Opera (1600-1800)

Claudio Monteverdi | Baroque opera pioneer; L'Orfeo (1607) is opera's cornerstone; revolutionized expressive harmony.
Richard Wagner | Revolutionary through-composer; leitmotif technique, chromatic harmony, music drama philosophy reshaped opera.
Richard Strauss | Late-Romantic symphonist-opera composer; Salome's modernist dissonance shocked early 20th-century audiences profoundly.
Lohengrin | Wagner's swan knight mystery; grail quest amid medieval politics, forbidden knowledge, and mystical magic.
Tristan und Isolde | Wagner's love-death opus; chromatic harmony and metaphysical tragedy define 20th-century musical modernism.
Parsifal | Wagner's final opera; spiritual redemption through renunciation, wound-healing, and grail mysticism converge.
Die Fledermaus | Strauss's Austrian operetta gem; waltzes, mistaken identity, champagne excess, and ensemble brilliance sparkle.
Wozzeck | Berg's atonal masterpiece; fragmented soldier's psychic collapse amid military brutality and powerless despair.
Salome | Strauss's shocking biblical teen seductress; dances for prophet's severed head; dissonant modernism scandalizes.
Fidelio | Beethoven's sole opera; ode to freedom, justice, heroic rescue; political ideals triumph through love.
The Threepenny Opera | Weill-Brecht Brechtian satire; class-conscious, ironic, subversive; devilishly catchy tunes undermine bourgeois morality.

# 20th Century & Modern Opera

Benjamin Britten | British Romantic; Peter Grimes initiated modern English operatic tradition with orchestral sea-painting.
Philip Glass | Minimalist pioneer; Einstein on the Beach revolutionized operatic narrative and compositional structure.
John Adams | Orchestral minimalist; extended Glass's innovations toward narrative accessibility and contemporary political relevance.
Peter Grimes | Britten's Suffolk seascape tragedy; community alienation, orchestral impressionism, and Romantic vulnerability define.
Einstein on the Beach | Glass's 4+ hour sprawling minimalist epic; no traditional plot, hypnotic repetition, visual spectacle.
Porgy and Bess | Gershwin's African-American vernacular opera; spirituals, jazz, folk-musical fusion, Charleston charm blend.
Boris Godunov | Mussorgsky's Russian history opera; troubled czar amid peasant suffering, ghost-king, and historical conscience.

# Singers, Arias & Vocal Traditions

Maria Callas | 20th-century prima donna; perfectionist technique and dramatic intensity; controversial, legendary, transformative.
castrato | Castrated male soprano tradition; dominated Baroque and Classical opera until 19th-century decline and abolition.
"Vesti la giubba" | Canio's famous aria from I Pagliacci; tenor high C showstopper with emotional climax.
