# Old English & Anglo-Saxon Literature
> Alliterative verse and prose in the earliest form of English, running from Caedmon through the Norman Conquest of 1066.
Beowulf | Anonymous Old English epic of a Geatish hero who slays Grendel, Grendel's mother, and a dragon.
mystery plays | Medieval biblical drama cycles performed by town guilds, precursors to English secular theater.
Robin Hood | Legendary English outlaw of medieval ballads, robbing the rich to aid the poor from Sherwood Forest.
The Book of the Duchess | Chaucer's early dream-vision elegy, likely written for John of Gaunt's deceased first wife.
the General Prologue to the Canterbury Tales | Chaucer's opening frame introducing each of the pilgrims journeying to Canterbury.
The Miller | Drunken, bawdy pilgrim among Chaucer's Canterbury Tales narrators, teller of "The Miller's Tale."
Wakefield | Northern English town giving its name to the Wakefield Cycle of medieval mystery plays.

# Elizabethan & Jacobean Literature
> Poetry and drama of Shakespeare's era and the reigns of Elizabeth I and James I, from sonnet sequences to revenge tragedy.
Ben Jonson | Jacobean playwright and poet, Shakespeare's rival and friend; Volpone, The Alchemist, Every Man in His Humour.
Christopher Marlowe | Elizabethan dramatist and Shakespeare's rival; Doctor Faustus, Tamburlaine the Great, The Jew of Malta.
William Shakespeare | Elizabethan-Jacobean playwright and poet; tragedies, comedies, and histories plus 154 sonnets; central figure of English drama.
King Lear | Shakespeare tragedy of an aging king who divides his kingdom among his daughters and descends into madness.
Edmund Spenser | Elizabethan poet of the allegorical epic The Faerie Queene and the sonnet sequence Amoretti.
The Faerie Queene | Spenser's unfinished allegorical epic honoring Elizabeth I through knights personifying virtues, including the Redcrosse Knight.
Hamlet | Shakespeare's tragedy of the Danish prince who feigns madness to avenge his father, murdered by Claudius.
Much Ado About Nothing | Shakespeare comedy of sparring lovers Beatrice and Benedick alongside the slandered Hero and Claudio.
Sir Philip Sidney | Elizabethan courtier-poet; sonnet sequence Astrophil and Stella, prose romance The Countess of Pembroke's Arcadia.
The Tempest | Shakespeare's late romance of exiled magician Prospero, his daughter Miranda, and spirits Ariel and Caliban.
As You Like It | Shakespeare pastoral comedy set in the Forest of Arden, featuring the cross-dressing Rosalind and melancholy Jaques.
Macbeth | Shakespeare tragedy of a Scottish general driven by prophecy and Lady Macbeth's ambition to murder King Duncan.
Richard III | Shakespeare history play of the scheming, physically deformed Richard's ruthless rise to the English throne.
John Webster | Jacobean revenge tragedian; The Duchess of Malfi, on a widowed duchess destroyed by her vengeful brothers.
Othello | Shakespeare tragedy of the Moorish general destroyed by Iago's manipulation into jealousy over Desdemona.
Titus Andronicus | Shakespeare's earliest, bloodiest tragedy, featuring the Roman general's revenge against Tamora and Aaron.
Volpone | Ben Jonson's satirical comedy of a Venetian miser who feigns death to swindle legacy-hunters.
Henry V | Shakespeare history play following the young king's rousing leadership at the Battle of Agincourt.
Measure for Measure | Shakespeare "problem play" of a deputy's abuse of power and a novice nun's moral test.
The Alchemist | Ben Jonson's comedy of con artists running elaborate scams from a house in plague-emptied London.
Love's Labour's Lost | Shakespeare comedy of a king and his lords who forswear women's company, only to promptly fall in love.
Sir John Falstaff | Shakespeare's comic, cowardly knight and companion to Prince Hal in the Henry IV plays.
The Merchant of Venice | Shakespeare comedy in which moneylender Shylock demands a pound of flesh from merchant Antonio.
The Taming of the Shrew | Shakespeare comedy of Petruchio's contentious courtship and "taming" of the sharp-tongued Katherina.
Twelfth Night | Shakespeare comedy of shipwrecked twin Viola disguised as a man, entangling Duke Orsino and Countess Olivia.
Caliban | Enslaved, resentful native of the island in Shakespeare's The Tempest, son of the witch Sycorax.
Coriolanus | Shakespeare tragedy of a proud Roman general whose contempt for the plebeians leads to his banishment.
Doctor Faustus | Marlowe's tragedy of a scholar who trades his soul to Mephistophilis for twenty-four years of magical power.
The Jew of Malta | Marlowe's tragedy of vengeful Maltese merchant Barabas, a forerunner to Shakespeare's Shylock.
Cleopatra | Egyptian queen and Mark Antony's lover in Shakespeare's Antony and Cleopatra.
Iago | Scheming ensign in Shakespeare's Othello whose manipulations drive the Moor to murder his wife.
Mark Antony | Roman triumvir whose love for Cleopatra destroys his political standing in Shakespeare's tragedy.
Philip Sidney | Elizabethan courtier-poet, author of Astrophil and Stella; usually styled Sir Philip Sidney.
The Duchess of Malfi | John Webster's revenge tragedy of a widowed duchess destroyed by her tyrannical brothers for remarrying beneath her rank.
Twelfth Night, or What You Will | Full title of Shakespeare's comedy of shipwrecked twin Viola disguised as a man.
Elizabeth I | Tudor queen whose reign gave its name to Elizabethan literature and who was celebrated in Spenser's Faerie Queene.
George Chapman | Elizabethan-Jacobean poet and playwright best known for his translation of Homer.
Malvolio | Puritanical, self-important steward tricked into absurd behavior in Shakespeare's Twelfth Night.
Mercutio | Romeo's witty, ill-fated friend in Shakespeare's Romeo and Juliet, killed by Tybalt.
Ophelia | Hamlet's beloved, driven to madness and drowning after her father Polonius's death in Shakespeare's tragedy.
Portia | Clever heroine of The Merchant of Venice who disguises herself as a lawyer to save Antonio.
Romeo and Juliet | Shakespeare's tragedy of two feuding Verona families' children whose secret marriage ends in double suicide.
the Dark Lady = Dark Lady | Mysterious, dark-haired woman addressed in a group of Shakespeare's sonnets.
The Revenger's Tragedy | Anonymous (often attributed to Thomas Middleton) Jacobean revenge tragedy featuring the avenger Vindice.
The Two Gentlemen of Verona | Shakespeare's early comedy of friendship and romantic rivalry between Valentine and Proteus.
Thomas Middleton | Prolific Jacobean playwright; The Changeling, A Chaste Maid in Cheapside, likely co-author of The Revenger's Tragedy.
Thomas Wyatt | Early Tudor courtier-poet who introduced the sonnet form to English poetry.
"The Passionate Shepherd to His Love" | Christopher Marlowe's pastoral lyric inviting a beloved to "come live with me and be my love."
Astrophil and Stella | Sir Philip Sidney's pioneering English sonnet sequence chronicling a courtier's unrequited love.
Cordelia | King Lear's youngest, most honest daughter, disowned for refusing to flatter him, later reconciled before his death.
Desdemona | Othello's devoted wife, falsely suspected of infidelity and murdered by him in Shakespeare's tragedy.
Philip Massinger | Jacobean-Caroline playwright; A New Way to Pay Old Debts, known for the villain Sir Giles Overreach.
Puck | Mischievous fairy also called Robin Goodfellow who causes the romantic mix-ups in A Midsummer Night's Dream.
The Changeling | Middleton and Rowley's Jacobean tragedy of Beatrice-Joanna's murderous scheme to avoid an unwanted marriage.
William Shakespeare's sonnets | 154-poem sequence including the Fair Youth and Dark Lady sequences and "Shall I compare thee to a summer's day?"
A Midsummer Night's Dream | Shakespeare comedy of lovers, fairies, and the mischievous Puck tangled in an enchanted forest.
Amoretti | Edmund Spenser's sonnet sequence celebrating his courtship of his second wife, Elizabeth Boyle.
Bartholomew Fair | Ben Jonson's sprawling comedy satirizing Puritan hypocrisy and London fairground life.
epithalamion = "Epithalamion" | Wedding-poem genre, notably Spenser's own "Epithalamion" celebrating his marriage.
Every Man in His Humour | Ben Jonson's comedy satirizing character types defined by their dominant "humour," or temperament.
First Folio | 1623 posthumous collection of Shakespeare's plays, the first to preserve many of them in print.
Henry VI | Shakespeare's history trilogy on the weak king's reign amid the Wars of the Roses.
Hero and Leander | Marlowe's unfinished mythological poem of two lovers separated by the Hellespont, completed by Chapman.
John Marston | Jacobean satirist and playwright known for The Malcontent and biting verse satires.
John of Gaunt | Historical duke whose "this England" deathbed speech appears in Shakespeare's Richard II.
Julius Caesar | Shakespeare tragedy of the Roman dictator's assassination by conspirators led by Brutus and Cassius.
Lady Macbeth | Ambitious wife who goads Macbeth into regicide, later undone by guilt-driven sleepwalking and madness.
Macduff | Scottish nobleman "not of woman born" who avenges his murdered family by killing Macbeth.
Redcrosse Knight | Knight of Holiness who battles the dragon in Book One of Spenser's The Faerie Queene.
Sir Thomas Wyatt | Early Tudor courtier-poet who introduced the sonnet form to English poetry.
sonnets by William Shakespeare | 154-poem sequence including the Fair Youth and Dark Lady sequences.
Stella | Beloved addressed in Sir Philip Sidney's sonnet sequence Astrophil and Stella.
Tamburlaine the Great | Marlowe's play glorifying the ruthless conqueror's rise from shepherd to world-conquering emperor.
The Comedy of Errors | Shakespeare's farce of two sets of separated identical twins causing chaotic mistaken identity.
The Spanish Tragedy, or Hieronimo Is Mad Again | Thomas Kyd's foundational revenge tragedy, whose grieving father Hieronimo seeks vengeance for his murdered son.
The Two Noble Kinsmen | Late Shakespeare-Fletcher collaboration of two cousins whose friendship is destroyed by rivalry over the same woman.
Thomas Dekker | Jacobean playwright; The Shoemaker's Holiday, a comedy celebrating London tradesmen.
Timon of Athens | Shakespeare tragedy of a generous Athenian ruined by his fair-weather friends who becomes a bitter misanthrope.
Touchstone | Witty court fool who accompanies Rosalind and Celia into exile in Shakespeare's As You Like It.
Urania | Title figure of Mary Wroth's Jacobean prose romance The Countess of Montgomery's Urania.
Verona | Italian city setting of Shakespeare's Romeo and Juliet and The Two Gentlemen of Verona.
Yorick | Dead court jester whose skull Hamlet contemplates, mourning "Alas, poor Yorick."
"Shall I compare thee to a Summer's day?" | Opening line of Shakespeare's Sonnet 18, praising a beloved's beauty as more lasting than a summer's day.
'Tis Pity She's a Whore | John Ford's Caroline tragedy of an incestuous love between a brother and sister that ends in violent ruin.
A Chaste Maid in Cheapside | Thomas Middleton's Jacobean city comedy satirizing sexual and financial scheming among London tradesfolk.
A New Way to Pay Old Debts | Philip Massinger's Jacobean-Caroline comedy featuring the grasping villain Sir Giles Overreach.
All's Well That Ends Well | Shakespeare "problem play" in which Helena cures the king and tricks her reluctant husband Bertram into love.
Antony and Cleopatra | Shakespeare tragedy of the Roman triumvir's ruinous love for the Egyptian queen.
Barabas | Vengeful Maltese merchant-villain of Marlowe's The Jew of Malta.
Beatrice | Sharp-tongued heroine of Much Ado About Nothing, who spars wittily with Benedick before falling for him.
Claudius | Hamlet's uncle, who murders his brother the king, marries the widowed queen, and is finally killed by Hamlet.
Cymbeline | Shakespeare's late romance combining a wronged queen's daughter, disguise, and reconciliation among warring Britain and Rome.
Domitius Enobarbus | Mark Antony's loyal follower in Antony and Cleopatra, who deserts him and dies of grief and shame.
fairies | Supernatural beings, led by Oberon and Titania, who meddle in the lovers' affairs in A Midsummer Night's Dream.
fools | Wise-seeming comic figures such as King Lear's Fool and Twelfth Night's Feste, licensed to speak uncomfortable truths.
Forest of Arden | Pastoral woodland refuge for exiled characters in Shakespeare's As You Like It.
Henry VIII | Shakespeare (and Fletcher) history play on the Tudor king's reign, also the historical monarch served by Thomas Cromwell.
John Fletcher | Jacobean playwright who succeeded Shakespeare as the King's Men's chief dramatist, often his collaborator.
Juliet | Young heroine of Shakespeare's Romeo and Juliet, who dies alongside her secret husband.
King Lear's Fool | Wise-seeming jester who accompanies and mocks Lear during his descent into madness.
Mephistophilis | Demon who serves and ultimately claims the soul of the title scholar in Marlowe's Doctor Faustus.
Michael Drayton | Elizabethan poet; Poly-Olbion, a vast topographical poem celebrating England's landscape.
Miranda | Prospero's innocent daughter in The Tempest, who marvels at humanity in a "brave new world."
Prince Hamlet | Shakespeare's brooding Danish prince who feigns madness to avenge his murdered father.
Prospero | Exiled magician-duke who commands the spirit Ariel and rules the island in Shakespeare's The Tempest.
Queen Mab | Fairy who delivers dreams according to Mercutio's speech in Romeo and Juliet; also namesake of an early Shelley poem.
Ralph Roister Doister | Nicholas Udall's mid-16th-century play, often called the first English comedy.
Richard II | Shakespeare history play on the deposition of an ineffectual king by Bolingbroke, later Henry IV.
Rosencrantz AND Guildenstern | Hamlet's interchangeable courtier acquaintances, sent to their deaths carrying a forged letter.
Shylock | Jewish moneylender in The Merchant of Venice who demands a pound of flesh from Antonio.
Sir Walter Raleigh | Elizabethan courtier, explorer, and poet, executed under James I.
sonnet | Fourteen-line poetic form introduced to England by Wyatt and perfected by Shakespeare.
sonnet sequence | Genre of linked sonnets exploring a single love story, pioneered in English by Sidney's Astrophil and Stella.
The Countess of Pembroke's Arcadia | Sir Philip Sidney's prose pastoral romance, dedicated to his sister.
The Life and Death of King John | Shakespeare history play dramatizing the troubled reign of the king forced to sign the Magna Carta.
The Shepheardes Calender | Edmund Spenser's early pastoral poem cycle organized into twelve months, launching his poetic career.
The Spanish Tragedy | Thomas Kyd's foundational revenge tragedy, whose grieving father Hieronimo seeks vengeance for his murdered son.
The White Devil | John Webster's Jacobean revenge tragedy of the adulteress Vittoria Corombona's downfall and murder.
The Winter's Tale | Shakespeare's late romance of a jealous king's wrongful accusation and the eventual, seemingly miraculous reunion of his family.
tragedy | Dramatic mode of downfall and suffering perfected by Shakespeare and the Jacobean revenge dramatists.

# Metaphysical & Civil War-Era Poetry
> Seventeenth-century poets known for wit and conceits, alongside Milton and the literature surrounding the English Civil War.
John Donne | Founder of Metaphysical poetry; Holy Sonnets and elaborate conceits; later Dean of St. Paul's writing devotional prose.
John Milton | Puritan poet of the English Civil War era; epic Paradise Lost, Areopagitica, Samson Agonistes, "Lycidas."
Andrew Marvell | Metaphysical poet and Civil War-era politician; "To His Coy Mistress," "The Garden."
George Herbert | Metaphysical poet-priest; The Temple, devotional lyrics including shaped poems like "Easter Wings."
Richard Lovelace | Cavalier poet loyal to Charles I; "To Althea, from Prison," "To Lucasta, Going to the Wars."
Holy Sonnets | John Donne's devotional sonnet sequence, including "Death, be not proud" and "Batter my heart."
Paradise Lost | Milton's epic on Satan's fall and Adam and Eve's expulsion from Eden, justifying "the ways of God to men."
Oliver Cromwell | Puritan Lord Protector of England after the Civil War execution of Charles I; subject of Marvell's Horatian Ode.
Robert Herrick | Cavalier poet; "To the Virgins, to Make Much of Time," carpe-diem lyrics of nature and love.
"Lycidas" | Milton's pastoral elegy mourning a drowned Cambridge classmate under the shepherd name Lycidas.
Satan | Rebellious fallen angel and antihero of Milton's Paradise Lost, who declares it "better to reign in Hell."
"To His Coy Mistress" | Andrew Marvell's carpe-diem poem urging a reluctant lover on given "Time's winged chariot."
"A Valediction: Forbidding Mourning" = "A Valediction Forbidding Mourning" | John Donne's farewell poem comparing separated lovers to the two legs of a drafting compass.
Samson Agonistes | Milton's closet drama on the blinded, captive biblical strongman's final act of vengeance against the Philistines.
Thomas Browne | 17th-century physician and prose stylist; Religio Medici, meditative essays on faith and mortality.
"Batter my heart, Three Person'd God" | Opening line of a John Donne Holy Sonnet begging violent divine intervention to reform the speaker's soul.
"Il Penseroso" | Milton's companion poem to "L'Allegro," praising the contemplative, melancholic life.
"The Canonization" | Donne's poem defiantly elevating romantic love to the status of religious sainthood.
Abraham Cowley | 17th-century Metaphysical-adjacent poet known for Pindaric odes and elaborate conceits.
Areopagitica | Milton's prose polemic against licensing and for freedom of the press.
Cavalier poets | Group of 17th-century royalist poets, including Lovelace and Herrick, prizing wit and carpe-diem themes.
metaphysical poets | 17th-century group including Donne, Herbert, and Marvell, known for intellectual conceits and paradox.
"The Good-Morrow" | John Donne's aubade celebrating awakened, all-consuming love between two united souls.
"To Althea, from Prison" | Richard Lovelace's Cavalier poem declaring that "stone walls do not a prison make."
Adam | First man, expelled from Eden alongside Eve in Milton's Paradise Lost.
The Compleat Angler | Izaak Walton's mid-17th-century prose treatise celebrating the art and contemplative pleasure of fishing.
"I am a little world made cunningly" | John Donne Holy Sonnet comparing the speaker's soul to a microcosm requiring purification.
aubades | Dawn-song poetic form used by Donne and later revisited by Larkin.
Comus | Milton's masque in which a virtuous Lady resists the temptations of the seductive sorcerer Comus.
Eve | First woman, tempted by Satan and expelled from Eden alongside Adam in Milton's Paradise Lost.
John Suckling | Cavalier poet known for witty, casual love lyrics such as "Why so pale and wan, fond lover?"
Lucasta | Beloved addressed in Richard Lovelace's Cavalier poems, including "To Lucasta, Going to the Wars."
masques | Elaborate court entertainment genre combining music, dance, and allegory, exemplified by Milton's Comus.
Metaphysical poetry | 17th-century poetic style marked by intellectual conceits and paradox, led by Donne, Herbert, and Marvell.
Puritans | Religious reformers whose Civil War-era ascendancy shaped Milton's writing and closed the theaters.
Sir John Suckling | Cavalier poet known for witty, casual love lyrics such as "Why so pale and wan, fond lover?"
Sir Thomas Browne | 17th-century physician and prose stylist; Religio Medici, meditative essays on faith and mortality.
The Temple | George Herbert's posthumously published collection of devotional lyrics, including shaped poems like "Easter Wings."

# Restoration & Augustan Literature
> Comedy of manners, satire, and the rise of the novel from the 1660 Restoration through the mid-eighteenth century.
Aphra Behn | First Englishwoman to earn a living by writing; Restoration playwright and novelist of Oroonoko and The Rover.
John Dryden | Restoration Poet Laureate and satirist; Mac Flecknoe, Absalom and Achitophel, All for Love.
Henry Fielding | Augustan novelist and magistrate; picaresque Tom Jones and Joseph Andrews.
Jonathan Swift | Anglo-Irish satirist and Dean of St. Patrick's; Gulliver's Travels, "A Modest Proposal," A Tale of a Tub.
Alexander Pope | Augustan satirist and translator of Homer; The Rape of the Lock, The Dunciad, An Essay on Man.
Samuel Johnson | Augustan lexicographer and critic; compiled A Dictionary of the English Language; subject of Boswell's Life.
Richard Brinsley Sheridan | Anglo-Irish playwright of comedy of manners in the Restoration style; The Rivals, The School for Scandal, The Critic.
She Stoops to Conquer | Oliver Goldsmith's comedy of mistaken identity in which a suitor is tricked into thinking a manor house is an inn.
Daniel Defoe | Augustan-era journalist and novelist; Robinson Crusoe and Moll Flanders, early landmarks of the English novel.
Oliver Goldsmith | Anglo-Irish Augustan writer; She Stoops to Conquer, The Vicar of Wakefield, "The Deserted Village."
William Congreve | Restoration comedy-of-manners playwright; The Way of the World, prized for epigrammatic wit.
Laurence Sterne | 18th-century novelist; Tristram Shandy, a digressive, typographically experimental mock-autobiography.
Tristram Shandy | Laurence Sterne's digressive mock-autobiography narrated by a man who struggles even to be born within the story.
The Life and Opinions of Tristram Shandy, Gentleman | Full title of Sterne's digressive 18th-century mock-autobiography.
Robinson Crusoe | Daniel Defoe's novel of a shipwrecked castaway who survives alone on an island before meeting his companion Friday.
The School for Scandal | Richard Brinsley Sheridan's comedy of manners skewering hypocrisy and gossip among London society.
Samuel Richardson | Augustan-era epistolary novelist; Pamela and Clarissa, pioneering the novel of interior feeling.
The Country Wife | William Wycherley's bawdy Restoration comedy involving the seducer Horner's feigned impotence.
Mrs. Malaprop | Comic character in Sheridan's The Rivals whose habitual word confusions gave rise to the term "malapropism."
Tobias Smollett | 18th-century picaresque novelist; Roderick Random, The Expedition of Humphry Clinker.
Eliza Haywood | Early 18th-century novelist and playwright, prolific in the amatory fiction genre before the realist novel.
James Boswell | Augustan-era biographer; The Life of Samuel Johnson, a landmark of the biographical form.
John Bunyan | Nonconformist preacher and author of the allegory The Pilgrim's Progress, following Christian's journey to salvation.
The Dunciad | Alexander Pope's mock-epic satire crowning a "king of dunces" to mock literary hacks.
The Rivals | Sheridan's comedy of manners featuring the malaprop-prone Mrs. Malaprop and rival suitors for Lydia Languish.
The Rover | Aphra Behn's Restoration comedy of exiled English cavaliers pursuing romance in Naples during carnival.
The Way of the World | William Congreve's comedy of manners centered on the witty courtship of Mirabell and Millamant.
"A Modest Proposal" | Jonathan Swift's satirical essay proposing the Irish poor sell their children as food for the wealthy.
A Tale of a Tub | Jonathan Swift's satirical prose allegory mocking religious and scholarly excess.
David Garrick | 18th-century actor-manager who reinvigorated Shakespearean performance and Georgian theatre.
Fielding | Surname of Augustan novelist Henry Fielding, author of Tom Jones and Joseph Andrews.
The Rape of the Lock | Alexander Pope's mock-heroic poem elevating a stolen lock of hair to epic proportions.
Tom Jones | Henry Fielding's picaresque novel following a foundling's misadventures to eventual legitimacy and marriage.
"An Essay on Man" | Alexander Pope's philosophical poem defending providence, arguing "Whatever IS, is RIGHT."
Christian | Everyman pilgrim-hero of John Bunyan's allegory The Pilgrim's Progress, journeying to the Celestial City.
English Restoration | Period beginning with Charles II's 1660 return to the throne, marked by comedy of manners and Dryden's poetry.
Friday | Companion rescued from cannibals by the title character of Defoe's Robinson Crusoe.
Lilliput | Land of tiny people visited by the narrator in the first voyage of Swift's Gulliver's Travels.
Moll Flanders | Daniel Defoe's novel narrated by a woman who survives through theft, marriage, and reinvention.
Samuel Pepys | Restoration-era diarist whose secret shorthand journal vividly records the Great Fire and Plague of London.
The History of Tom Jones, a Foundling | Full title of Henry Fielding's picaresque novel of a foundling's misadventures to legitimacy.
The Vicar of Wakefield | Oliver Goldsmith's sentimental novel of a clergyman's family enduring reversals of fortune.
Thomas Shadwell | Restoration playwright and poet laureate satirized as the dull heir to bad poetry in Dryden's Mac Flecknoe.
"Epistle to Dr. Arbuthnot" | Alexander Pope's satirical verse letter defending himself against literary enemies, including the portrait of "Sporus."
"The Deserted Village" | Oliver Goldsmith's poem lamenting rural depopulation and the loss of a idealized English village.
Charles II | Monarch whose 1660 restoration to the throne ended the Interregnum and reopened the theaters.
Clarissa | Samuel Richardson's epistolary novel of a woman's ruin and death after being drugged and violated by Lovelace.
Fanny Burney | 18th-century novelist and diarist; Evelina, an early novel of a young woman's entrance into society.
Grub Street | Historic London street synonymous with impoverished hack writers and journalists in the 18th century.
Lemuel Gulliver | Narrator-surgeon of Swift's Gulliver's Travels, shipwrecked among Lilliputians, Brobdingnagians, and Houyhnhnms.
Restoration Era | Period beginning with Charles II's 1660 return to the throne, marked by comedy of manners and satire.
Richard Sheridan | Anglo-Irish playwright of comedy of manners; The Rivals, The School for Scandal.
The Pilgrim's Progress | John Bunyan's allegory following Christian's journey from the City of Destruction to the Celestial City.
William Wycherley | Restoration comedy-of-manners playwright; The Country Wife, known for bawdy wit.
Clarissa, or, the History of a Young Lady | Full title of Samuel Richardson's epistolary novel of a woman's ruin at the hands of Lovelace.
Colley Cibber | Actor-playwright and poet laureate mocked as a symbol of bad taste, later crowned "king of dunces" in Pope's Dunciad.
Dr. Samuel Johnson | Augustan lexicographer and critic; compiled A Dictionary of the English Language; subject of Boswell's Life.
Evelina | Frances Burney's epistolary novel of a young woman's awkward, comic entrance into fashionable society.
Frances Burney | 18th-century novelist and diarist; Evelina, an early novel of a young woman's entrance into society.
Hudibras | Samuel Butler's mock-heroic poem satirizing Puritan hypocrisy through a bungling knight-errant.
John Arbuthnot | Augustan satirist and physician; member of the Scriblerus Club alongside Pope and Swift.
Joseph Andrews | Henry Fielding's picaresque novel parodying Richardson's Pamela through a virtuous footman.
Mac Flecknoe | John Dryden's mock-heroic satire crowning a bad poet, Thomas Shadwell, as heir to a kingdom of dullness.
Pamela | Samuel Richardson's epistolary novel of a servant girl who preserves her virtue and is ultimately rewarded with marriage.
Pamela; or, Virtue Rewarded | Full title of Samuel Richardson's epistolary novel of a virtuous servant girl.
Parson Yorick | Sentimental clergyman-narrator of Sterne's A Sentimental Journey, also a character in Tristram Shandy.
Sarah Fielding | 18th-century novelist and sister of Henry Fielding; The Adventures of David Simple.
satire | Mode of mocking critique that dominates 18th-century English writing, from Swift to Pope.
Sophia Western | Beautiful, virtuous love interest of the title character in Fielding's Tom Jones.
The Blazing World | Margaret Cavendish's proto-science-fiction romance of a woman who becomes empress of a fantastical parallel world.
The Critic | Richard Brinsley Sheridan's satirical play mocking theatrical convention through a rehearsal-within-a-play.
The Life and Opinions of Tristram Shandy | Laurence Sterne's digressive mock-autobiography, narrated by a man who struggles even to be born within the story.
The Man of Feeling | Henry Mackenzie's sentimental novel following the excessively tender-hearted Harley through a series of tearful encounters.
The Man of Mode | George Etherege's Restoration comedy of manners centered on the rake Dorimant.
The Restoration | Period beginning with Charles II's 1660 return to the throne, marked by comedy of manners and Dryden's poetry.
Tobias George Smollett | Full name of 18th-century picaresque novelist Tobias Smollett.

# Romanticism
> Poets and novelists of imagination, nature, and revolutionary feeling, writing from the 1780s through the 1830s.
John Keats | Second-generation Romantic poet; odes including "Ode on a Grecian Urn" and "To Autumn"; died young of tuberculosis.
William Blake | Visionary Romantic poet-engraver; Songs of Innocence and of Experience, "The Tyger," prophetic books like Jerusalem.
Percy Bysshe Shelley | Radical Romantic poet; "Ozymandias," "Ode to the West Wind," Prometheus Unbound; married Mary Shelley.
Samuel Taylor Coleridge | Romantic poet and critic; "The Rime of the Ancient Mariner," "Kubla Khan"; collaborated with Wordsworth on Lyrical Ballads.
